Date,NAV,Cash_NAV,Apple_NAV,Lockheed_martin_NAV,Nvidia_NAV,Procter_gamble_NAV,Johnson_johnson_NAV,Toyota_NAV,Nestle_NAV,X_steel_NAV,10y_treasury_NAV,Lqd_etf_NAV,10y_tips_NAV,1y_eur_zcb_NAV,High_yield_corp_debt_NAV,5y_green_bond_NAV,30y_revenue_bond_NAV,Sp500_futures_1m_NAV,Vix_futures_NAV,Crude_oil_futures_NAV,Gold_futures_NAV,Soybean_futures_NAV,Costco_itm_call_NAV,Eurusd_atm_call_NAV,Xom_itm_put_NAV,Usdjpy_atm_put_NAV,Dax_variance_swap_NAV,Nikkei_asian_put_NAV,Ford_cds_NAV,Spx_knockout_call_NAV,Gbpusd_6m_forward_NAV,Usdinr_3m_forward_NAV
2005-01-03,10000000.0,800000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,400000.0,200000.0,200000.0,400000.0,200000.0,400000.0,400000.0,400000.0,400000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
2005-01-04,9853905.452446394,800054.1226254227,202053.97122872638,196605.70261282864,190585.28445856328,197499.50807673755,199364.07840199128,196780.52879980768,196174.41418387752,197808.8398085688,396492.9913283328,397754.7853191554,397024.4604639352,394471.1168634685,401649.888360125,398557.7587044143,396180.2254476638,395298.6397403171,200000.0,208496.38920053176,399812.8220108558,196077.08997989233,391321.32319934206,388262.3932584759,396038.05253313616,393104.2677914971,299999.7772220547,303060.1986555794,300032.16998783004,222833.40396163604,300000.0,300511.24822162546
2005-01-05,9891672.252888707,800108.2489124185,203823.74909288014,201549.44347933144,192366.4213897728,199565.02273433833,199236.91132538294,196289.02076451224,196939.54641946743,198174.06991459805,400000.0,398075.333760029,396654.2220342454,394374.1006630009,400553.42211874126,398412.4806514211,398166.33355103614,393859.70252067986,200000.0,206024.34674735423,398039.48114895297,196822.7038875758,391453.3220767533,429276.942510819,392807.89348493185,388363.9971117111,300034.3263910563,317625.2387802684,300302.07873803185,201020.78886012203,300575.3517,301177.75211927533
2005-01-06,9850309.981183764,800162.3788612353,203981.76219465744,201106.75779785367,190500.81836105164,200543.5814994549,199809.2386790239,197394.88369384775,195715.38767513077,196794.54038846062,396492.9913283328,398360.7480638446,398658.9255925416,391675.9648598652,399772.25598901697,398821.77538023394,397576.3332938329,395235.64613965707,200000.0,216324.85906526627,392813.85053520824,198875.47030047383,395743.58633386897,363318.8984187277,396138.52292199136,393626.3137089982,300112.36075595184,315004.13889807084,300127.2712428477,214962.94832685732,297863.4899411796,302794.2809362806
2005-01-07,9809191.904543886,800216.5124721208,218833.86325007913,202066.04099913104,186852.91962837722,202645.33416159215,199077.93636388134,195232.2995986235,194338.1193476816,198052.3694302544,399295.8117656015,398182.2953281917,397243.4334508058,388147.6386769601,400235.91365771025,398491.53470193886,398276.94313652336,394660.9135466088,200000.0,215704.49131470098,390853.9022270747,202515.46676280128,390860.10938564216,351826.0638563914,392513.0928431283,379648.77748933836,300144.7904441977,310341.2956092472,299920.7222132298,203876.45698416693,296315.51453226304,302821.3413656227
2005-01-10,9784581.523606755,800378.9352796671,217917.50449023713,202914.63712666385,187277.36898295465,204239.87724869224,200635.835213104,196510.1813101117,194797.22135046916,198782.71939584843,400000.0,397505.5447239874,398304.5363270579,389703.87242181634,399822.5907974769,398161.6162600261,399627.79531105363,396005.2385692899,200000.0,215220.52329589103,391038.9112291573,204845.4659677338,387683.05089111376,322847.13559616584,390458.21399204625,366565.9936215076,300069.42151388404,305535.75830477773,299889.02344534965,217304.51892709034,297980.66727038054,302557.36474320083
2005-01-11,9691062.868941419,800433.083541305,204013.19474473037,203283.5231904668,181509.41005048229,204022.3886158614,199936.42728105112,198623.7442817344,196174.41418387752,188030.04663408344,397891.6209418632,398431.7805661612,398658.9255925416,389842.5089073836,398359.7219425764,398570.60443855985,400985.1428638907,393577.2695505618,200000.0,216879.1227810647,393650.8808318833,202883.38763140174,383794.89247902355,307774.91062578734,388252.12025123986,359838.2495320573,300066.11117556645,308393.87502472213,299984.2844128222,177956.60920439407,298484.9739233982,300759.6437409283
2005-01-12,9769393.030195797,800487.2354662505,206857.3194786985,205865.9995548108,179982.7635884169,204783.47094590447,201335.43761032273,199311.9098507009,203060.42832770987,192615.10930152633,398242.14636453614,398823.85071479593,399724.1632817826,393985.98086728837,398291.7546537912,398795.0543883957,403663.40317071567,395143.1770543309,200000.0,220151.9731414186,397569.12722489523,199334.13229509408,383571.30900934915,304454.911478005,392454.54672334605,367169.5644299995,300112.4005687972,325220.4246875497,300111.32034689677,195400.66478300805,302100.19497451594,300773.2559129421
2005-01-13,9692483.529309759,800541.3910547514,220571.92063336552,204205.79429690118,181849.50874084825,201232.00517337676,197042.93957711518,197124.53620415172,201224.13349151402,194684.49547884776,400000.0,399892.85494973615,400792.51328934624,392800.3763359671,397714.0316424221,399575.308328104,405703.0035071913,391742.3790337501,200000.0,228077.52027710192,396075.71320983116,200359.77596561424,383337.09767076705,285940.768263682,390702.6633178328,364954.6964847559,300092.5769965014,310787.59129817534,300380.90133931884,144850.8752919453,299167.1398293314,301059.0176275135
2005-01-14,9721760.725872802,800595.5503070556,221835.85092497995,206603.9337062861,182442.84034334798,202500.3823350337,199364.07840199128,200294.88070111393,200765.08186215814,204706.8366333679,398944.24140776513,400356.3856454318,400079.93366231414,389447.5247900551,398155.89768758084,399059.22834119987,405096.5164468122,394089.3291440717,200000.0,229688.44291718246,394395.7089974161,194009.6767488036,385988.2478659493,281662.8108676385,392859.05048096244,370037.6427122505,300036.16223407397,297501.9976504088,300396.9103320981,174157.70855673504,296051.2554312495,300636.6187374678
2005-01-18,9738397.978599507,800812.2239592631,223257.98228194652,208559.412270446,185326.22432914644,202899.1338577788,200413.35233549355,198377.9601238894,198010.721580378,204057.6570728245,399647.73117312335,400569.8195763126,400436.0502124631,387117.6715941631,397917.5063131912,398913.75527844223,409153.98367298784,397886.7914737051,200000.0,229675.3568076867,394860.0572657679,191763.7016635271,387444.13473096397,259082.62341436875,390648.9412570655,357938.5791967715,300021.8191730298,284975.3586019531,300381.0912429781,232570.12380466587,293894.6635479329,301783.550787243
2005-01-19,9678746.249558283,800866.401534302,220824.70685970056,206198.14783364575,181086.01957444657,206320.7397505088,199745.57951852455,195625.43362714144,197245.57665226984,203327.25198399826,400000.0,401175.5988389008,400792.5132893462,386724.5986381291,398021.86601090216,398768.3474613482,410557.4191766796,394070.3154840445,200000.0,225731.60942998287,394672.8864490888,193349.517601778,379269.92511667404,249513.68529118932,385808.69176709297,356017.4721956457,299999.860706368,326809.8188508966,300523.860918243,168876.48834507633,296128.1430818745,300693.7735704832
2005-01-20,9568054.030445103,800920.5827746318,222657.5245566194,202914.63712666387,181509.41005048229,206393.58111754054,198696.3920265728,192455.1192901406,196633.47837353783,203651.78659285302,401058.90669962595,400463.0414902511,400792.5132893462,385490.2866401955,396582.85051700415,399733.89370894805,409940.2452913272,391015.80138894083,200000.0,222690.31098485654,394112.5236783724,195402.11111011042,372986.5813997106,233605.7886043071,381496.2657214312,353401.6033391009,299998.6907673222,302092.1955184803,298960.98466243234,124582.46626769118,296034.84198783373,301779.61546877027
2005-01-21,9513689.85740803,800974.7676805003,222752.2850802671,201992.14164429408,181849.5087408482,202571.45745402126,196661.33043696664,193683.9648178107,197398.623301646,204179.3943220513,401412.57690885646,401354.05157455377,401149.3232504659,386610.02106338955,396001.4959107733,400330.3754474419,410671.4709779528,388505.37819833885,200000.0,230377.47041617596,398124.02953735134,192973.4355983697,361064.69214838557,224262.8835164772,377734.54954711976,348379.629649013,299996.2911176575,301618.9021693973,299358.8835295108,93151.88248234018,297989.13731172506,300559.9035743286
2005-01-24,9428590.430300826,801137.3443938182,223605.5286118989,200959.2458161812,174554.72131687554,200969.75204813553,195516.71900710586,193143.25469914582,198928.78702596232,204382.11820009784,402120.9715211353,402066.5477625034,401506.48045371415,387932.17257812637,396107.0633311051,400370.0907624665,415494.2684582687,387120.1779020942,200000.0,231696.74835945922,398308.9746422853,194183.11984295255,356428.08261281013,199415.65200474905,378451.7124407831,339199.41477943363,299986.3885610426,277201.06950476835,299629.386297758,68583.75663301104,298493.6004403779,301097.28029275965
2005-01-25,9399559.123797067,801191.5439643215,227682.05133020406,200184.3994377421,177608.1463233401,202862.65228126987,202607.28086298608,191078.86361140307,198775.7908822316,207587.74322951864,400000.00000000023,400712.5573486499,399368.7387141405,385959.3090370015,397571.78293210175,399296.8228233961,410111.08627288137,388672.143417957,200000.0,235633.36046284367,393736.6113889726,196422.35063189146,359772.0658918969,185429.02190384732,378015.46342305443,331131.76833154255,299987.15454834193,254561.82632602614,299422.687874033,78391.4323894878,294144.0510931297,301640.4170628539
2005-01-26,9453146.590046184,801245.7472016037,228314.10394732846,203763.1335823932,179898.23200470608,201806.9036166768,205564.29806509567,193536.4943072924,201377.14232776288,203043.28417113493,399647.7311731235,400854.74467468384,400079.93366231397,389115.0441166251,398016.79167192575,398966.1887864644,410842.61669492995,390558.23284358066,200000.0,231547.8258230678,398307.8838444526,195300.73507553604,359867.0241206071,175342.13201742846,378699.86668437696,332436.864133861,299989.11420703196,279014.0640727974,299295.36274169374,95697.85042166563,299376.8269931723,301640.4170628539
2005-01-27,9423576.823450275,801299.9541059128,229546.5143225604,208079.6522727765,194317.61599068207,201370.14796907603,204197.1605934949,190734.8562465872,201989.22791397662,206897.9417015669,399295.81176560174,400000.0000000002,400079.93366231397,387961.352608262,398807.3360203832,398635.87736973935,410225.01408401516,390724.4705483839,200000.0,231829.4149009434,397747.5208833328,192592.0938651909,356670.892569015,161434.6351849575,377093.11955285695,326717.73094037245,300005.56332808314,259071.5199498486,299359.16185542574,93075.58118030758,302040.58081039,301776.14125421474
2005-01-28,9388639.066343173,801354.1646774969,233780.76200183327,208005.8526551016,194063.15770966973,197111.3051873656,205469.0038461582,189358.5703683602,201989.22791397662,206816.73453163324,401412.5769088566,402316.3694244038,402580.03910096607,388178.52043931955,398230.75808899704,399786.38608933217,415039.09257132764,389674.26365362655,200000.0,223946.79404590244,397280.46926574,191937.2934502538,355015.69385950506,147046.9353241619,371916.6561159413,321352.1872658232,299993.044715252,269724.5385875417,299008.1542610779,73626.0829040789,301371.73248294485,301252.6988965254
2005-01-31,9373176.647132756,801516.8183983802,243008.2668763877,213281.7417350808,194402.09873722744,193762.370020789,205723.27308324314,192160.22352881014,201530.17628462083,210184.64524792298,402120.97152113536,402316.3694244038,402580.03910096607,388434.91948354174,397992.4634318966,399455.29772861465,416470.6868238685,392952.28458089393,200000.0,228778.55818652976,393546.76036521984,192213.41286900768,350646.838850072,92073.45123407054,369773.6239297319,310746.02525050193,299993.6183681164,262425.5035596328,298928.5535306982,114529.8329187389,299988.1384755764,301639.68358707783
