date,sp500_index,gold_spot_price,crude_oil_wti_spot,vix_index_level,exxonmobil_stock_price,costco_stock_price,eq_apple_price,eq_lockheed_martin_price,eq_nvidia_price,eq_procter_gamble_price,eq_johnson_johnson_price,eq_toyota_price,eq_nestle_price,eq_x_steel_price,lqd_corporate_bond_etf,10y_treasury_yield,fx_eurusd_rate,fx_usdjpy_rate,fx_gbpusd_rate,fed_funds_rate,factor_usd_index,factor_2y_treasury_yield,factor_5y_inflation_breakeven,factor_10y_2y_spread,factor_10y_inflation_breakeven,soybean_spot_usd,factor_GBP_sonia,high_yield_credit spread,1_year_euro_yield_curve,factor_dswp10,factor_dswp5,factor_corporate_yield,EUR-USD_IVOL,USD-JPY_IVOL,AA_Corp_bond_yield,30Y_treasury_yield,Basic_Loan_Rate_JPY,MIBOR ,Euro_STR,CPI,COST_IVOL_3MMA,XOM_IVOL_3MMA,COST_DIV_YIELD,XOM_DIV_YIELD,USD_INR,Real_10Y_yield
03-01-2005,1202.079956,428.7000122,42.11999893,14.07999992,25.56043053,32.36399841,0.952312171,30.60042953,0.180190638,31.31723213,35.30709457,50.59688187,15.12702179,41.50699997,49.90132523,4.2,1.347000957,102.7399979,1.904616952,2.31,81.30000305,3.1,2.62,1.13,2.53,5.355,Data Unavailable,3.06,2.239782,4.64,4.05,6.94,10.375,10.175,4.28,4.85,0.1,4.79,2.005,3,22.682,17.6812,0.6263,2.1162,43.41600037,1.7
04-01-2005,1188.050049,428.5,43.90999985,13.97999954,25.38693047,31.78292465,0.96209228,30.08109474,0.17170842,30.9256897,35.19483185,49.78240585,14.83767319,41.05225754,49.62122726,4.3,1.328197598,104.3399963,1.883593917,2.25,82.56999969,3.2,2.62,1.09,2.51,5.25,4.8981,2.97,2.231982,4.65,4.06,6.93,10.375,9.9,4.35,4.91,0.1,4.77,2.005,3,22.655,17.6579,0.6378,2.1307,43.49100113,1.78
05-01-2005,1183.73999,426.6000061,43.38999939,14.09000015,25.25425529,31.90454483,0.970519185,30.83749771,0.173313141,31.24912071,35.17238235,49.65806198,14.89554405,41.12805557,49.66121674,4.2,1.328003645,103.9300003,1.885511756,2.25,82.54000092,3.22,2.6,1.07,2.5,5.27,4.8329,3.04,2.248179,4.68,4.11,7,11.575,9.875,4.36,4.88,0.1,4.77,1.995,3,22.629,17.6471,0.6353,2.1418,43.5890007,1.79
06-01-2005,1187.890015,421,45.56000137,13.57999992,25.57574272,32.36399841,0.971271574,30.76976585,0.17163232,31.40234947,35.27341843,49.93782806,14.80295467,40.84175491,49.69682312,4.3,1.318304658,104.8899994,1.87648952,2.25,83.15000153,3.18,2.59,1.11,2.53,5.325,4.9037,3.09,2.207488,4.67,4.1,7.03,10.125,9.975,4.35,4.89,0.1,4.79,1.995,3,22.601,17.6236,0.6263,2.1149,43.82799911,1.76
07-01-2005,1186.189941,418.8999939,45.43000031,13.48999977,25.40734291,32.08698273,1.041990757,30.91653824,0.168345734,31.73145485,35.14431763,49.390728,14.69878483,41.10279846,49.67456055,4.22,1.306096792,104.8899994,1.871292591,2.24,83.61000061,3.2,2.57,1.09,2.49,5.4225,4.7116,3.07,2.187889,4.66,4.11,7.04,10.075,9.675,4.36,4.88,0.1,4.78,1.995,3,22.57,17.6266,0.6317,2.1289,43.83200073,1.8
08-01-2005,1186.189941,418.8999939,45.43000031,13.48999977,25.40734291,32.08698273,1.041990757,30.91653824,0.168345734,31.73145485,35.14431763,49.390728,14.69878483,41.10279846,49.67456055,4.24,1.306096792,104.8899994,1.871292591,2.24,83.61000061,3.2,2.57,1.09,2.49,5.4225,4.7116,3.07,2.187889,4.66,4.11,7.04,10.075,9.675,4.36,4.88,0.1,4.79,1.995,3,22.57,17.6266,0.6317,2.1289,43.83200073,1.8
10-01-2005,1190.25,419.1000061,45.33000183,13.22999954,25.50430679,32.14778519,1.037627459,31.04637527,0.168728143,31.98113823,35.41934204,49.71401215,14.73350906,41.25437164,49.59013367,4.2,1.310994029,104.1699982,1.876912117,2.26,83.29000092,3.23,2.62,1.06,2.52,5.485,4.6208,3.1,2.179831,4.68,4.14,7.07,9.775,9.575,4.37,4.86,0.1,4.81,2.005,3,22.524,17.6381,0.6305,2.1208,43.79299927,1.77
11-01-2005,1182.98999,421.8999939,45.68000031,13.18999958,25.43796349,31.97211838,0.971421242,31.10281563,0.163531482,31.94708252,35.29587173,50.24871063,14.83767319,39.0228157,49.70568466,4.26,1.311699033,103.4199982,1.878604531,2.24,83.01999664,3.24,2.6,1.02,2.5,5.4325,5.0047,3.19,2.204538,4.68,4.14,7.13,9.525,9.525,4.34,4.84,0.1,4.88,2.005,3,22.461,17.6333,0.634,2.1264,43.52899933,1.76
12-01-2005,1187.699951,426.1000061,46.36999893,12.56000042,25.81558228,32.11400223,0.984963715,31.49794006,0.162156045,32.06625748,35.54284668,50.42280579,15.35849762,39.97437668,49.75459671,4.25,1.325591922,102.4400024,1.890716434,2.25,82.13999939,3.22,2.6,1.03,2.52,5.3375,4.7481,3.2,2.206971,4.65,4.11,7.13,9.525,9.875,4.34,4.8,0.1,4.84,1.995,3,22.375,17.6276,0.6312,2.0953,43.53099823,1.73
13-01-2005,1177.449951,424.5,48.04000092,12.84000015,25.79517174,32.25590515,1.050266623,31.24392509,0.163837895,31.51014709,34.78506851,49.86943436,15.21960926,40.40384674,49.88795853,4.2,1.321108699,102.4599991,1.881007552,2.29,82.51000214,3.21,2.6,0.99,2.5,5.365,4.6457,3.24,2.174735,4.59,4.06,7.13,9.175,9.875,4.3,4.77,0.1,4.82,1.895,3,22.289,17.6013,0.6284,2.0969,43.57300186,1.7
