Date,NAV,Cash_NAV,Apple_NAV,Lockheed_martin_NAV,Nvidia_NAV,Procter_gamble_NAV,Johnson_johnson_NAV,Toyota_NAV,Nestle_NAV,X_steel_NAV,10y_treasury_NAV,Lqd_etf_NAV,10y_tips_NAV,1y_eur_zcb_NAV,High_yield_corp_debt_NAV,5y_green_bond_NAV,30y_revenue_bond_NAV,Sp500_futures_1m_NAV,Vix_futures_NAV,Crude_oil_futures_NAV,Gold_futures_NAV,Soybean_futures_NAV,Costco_itm_call_NAV,Eurusd_atm_call_NAV,Xom_itm_put_NAV,Usdjpy_atm_put_NAV,Nikkei_asian_put_NAV,Ford_cds_NAV,Spx_knockout_call_NAV,Gbpusd_6m_forward_NAV,Usdinr_3m_forward_NAV
2005-01-03,9700000.0,500000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,500000.0,400000.0,500000.0,500000.0,400000.0,300000.0,400000.0,400000.0,300000.0,300000.0,400000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,400000.0,400000.0
2005-01-04,9548291.840885824,500033.8266408891,202053.97122872638,196605.70261282864,190585.28445856328,197499.50807673755,199364.07840199128,196780.52879980768,196174.41418387752,197808.8398085688,495616.23916041595,397754.7853191554,496280.57557991904,493088.8960793356,401649.888360125,298918.3190283107,396180.2254476638,395289.7299176912,300000.0,312744.58380079764,399812.8220108558,294115.6349698385,293490.99239950656,291196.7949438569,297028.53939985216,294828.20084362285,310065.3797178174,300032.16998783004,201629.55849826895,402344.01550447074,399318.3357044994
2005-01-05,9570152.27631675,500067.65557026153,203823.74909288014,201549.44347933144,192366.4213897728,199565.02273433833,199236.91132538294,196289.02076451224,196939.54641946743,198174.06991459805,500000.0,398075.333760029,495817.7775428067,492967.6258287512,400553.42211874126,298809.3604885658,398166.33355103614,393849.26160021906,300000.0,309036.5201210313,398039.48114895297,295234.0558313637,293589.991557565,321957.7068831143,294605.9201136989,291272.99783378333,323944.2767543956,300302.07873803185,175358.85538224882,402126.7488044214,398432.6875674493
2005-01-06,9555623.67522764,500101.48678827204,203981.76219465744,201106.75779785367,190500.81836105164,200543.5814994549,199809.2386790239,197394.88369384775,195715.38767513077,196794.54038846062,495616.23916041595,398360.7480638446,498323.656990677,489594.9560748316,399772.25598901697,299116.33153517544,397576.3332938329,395229.962367083,300000.0,324487.28859789943,392813.85053520824,298313.2054507108,296807.6897504017,272489.17381404573,297103.89219149353,295219.7352817487,332250.17304151395,300127.2712428477,187026.12933124948,403152.16874318174,396294.1566947088
2005-01-07,9486495.762639996,500135.3202950755,218833.86325007913,202066.04099913104,186852.91962837722,202645.33416159215,199077.93636388134,195232.2995986235,194338.1193476816,198052.3694302544,499119.7647070019,398182.2953281917,496554.2918135072,485184.54834620026,400235.91365771025,298868.6510264542,398276.94313652336,394655.9203066926,300000.0,323556.7369720515,390853.9022270747,303773.2001442019,293145.0820392316,263869.54789229354,294384.8196323463,284736.5831170038,292657.9523399077,299920.7222132298,171277.11425001483,403748.83014293,396258.7402727316
2005-01-10,9467662.490292113,500236.8345497919,217917.50449023713,202914.63712666385,187277.36898295465,204239.87724869224,200635.835213104,196510.1813101117,194797.22135046916,198782.71939584843,500000.0,397505.5447239874,497880.6704088224,487129.8405272704,399822.5907974769,298621.2121950196,399627.79531105363,396008.71366612415,300000.0,322830.78494383657,391038.9112291573,307268.1989516007,290762.2881683353,242135.3516971244,292843.6604940347,274924.4952161307,289052.1694219968,299889.02344534965,177302.05007019592,403102.84084108495,396604.1685156376
2005-01-11,9368854.722058687,500270.67721331556,204013.19474473037,203283.5231904668,181509.41005048229,204022.3886158614,199936.42728105112,198623.7442817344,196174.41418387752,188030.04663408344,497364.526177329,398431.7805661612,498323.656990677,487303.1361342295,398359.7219425764,298927.9533289199,400985.1428638907,393577.7882102642,300000.0,325318.68417159707,393650.8808318833,304325.0814471026,287846.16935926763,230831.18296934053,291189.09018842987,269878.68714904296,285343.41804890515,299984.2844128222,129479.66102957829,402909.35768429004,398960.692356776
2005-01-12,9442949.546955595,500304.5221664065,206857.3194786985,205865.9995548108,179982.7635884169,204783.47094590447,201335.43761032273,199311.9098507009,203060.42832770987,192615.10930152633,497802.68295567017,398823.85071479593,499655.2041022282,492482.4760841107,398291.7546537912,299096.29079129675,403663.40317071567,395148.27714068774,300000.0,330227.9597121279,397569.12722489523,299001.1984426411,287678.48175701185,228341.18360850375,294340.9100425095,275377.1733224997,310815.1601682736,300111.32034689677,139928.04755079842,401535.4486679496,398942.6356736933
2005-01-13,9369794.831256133,500338.3694092196,220571.92063336552,204205.79429690118,181849.50874084825,201232.00517337676,197042.93957711518,197124.53620415172,201224.13349151402,194684.49547884776,500000.0,399892.85494973615,500990.6416116828,491000.470419959,397714.0316424221,299681.481246078,405703.0035071913,391743.25374716177,300000.0,342116.28041565284,396075.71320983116,300539.66394842137,287502.8232530753,214455.5761977615,293026.9974883746,273716.0223635669,288422.60789643973,300380.90133931884,87363.58653061402,402631.6142873275,398563.60419617797
2005-01-14,9405676.574218309,500372.2189419097,221835.85092497995,206603.9337062861,182442.84034334798,202500.3823350337,199364.07840199128,200294.88070111393,200765.08186215814,204706.8366333679,498680.3017597064,400356.3856454318,500099.9170778927,486809.40598756913,398155.89768758084,299294.4212558999,405096.5164468122,394096.42821442016,300000.0,344532.6643757737,394395.7089974161,291014.5151232054,289491.18589946197,211247.10815072886,294644.2878607218,277528.2320341879,288455.7544336452,300396.9103320981,109548.60238026216,403823.42044518754,399122.806260118
